image_key,brightness_mean,contrast_std,sharpness_laplacian_var,dark_pixel_fraction,bright_pixel_fraction,quality_flag_auto,quality_label,quality_label_source
aptos__2b8228ecc008b575,66.38479262672811,31.16527791186871,78.01050009169418,0.1671994689779351,0.0,pass,,
aptos__8a58801bb4e89fda,50.99044571151732,31.26140855378683,46.76891462435213,0.25448133862522593,0.0,pass,,
aptos__11b2efaae2c39263,22.482813517252605,26.219367272465416,49.39244588216146,0.5267333984375,0.0,very_dark,,
aptos__c8827d05711175da,74.23294808727896,43.36552491010468,29.479918359816683,0.2539572735573071,0.0,pass,,
aptos__f9409e06017fe46c,85.03271953848844,46.33306996785413,291.5574988040489,0.2113076161062875,0.0,pass,,
aptos__2a1c2e5e9b4f774b,66.1582017813576,37.926770358363136,73.45336639904268,0.24488648909050764,0.0,pass,,
aptos__9b0b1f3110f4a445,49.0398504344418,16.81857439166261,22.282342829049675,0.09326038377536087,0.0,pass,,
aptos__56f97594ad38fa59,73.67620465090279,43.693911576121096,41.25579820010158,0.2541412786255986,0.0,pass,,
aptos__73fd205e1180581e,48.45769842248161,23.76038179202652,16.637694928192897,0.09598809038412304,0.0,possibly_blurry,,
aptos__8229f86f94c8c7e2,76.75703630324573,41.63284699894539,257.3502780232919,0.2108560107219859,0.0,pass,,
aptos__6ce14f7a48048daf,76.29363090728978,41.29391263450972,254.9686598903621,0.21066662781889167,0.0,pass,,
aptos__2bc5841cf5eee5f8,64.93604464857937,30.77291441646362,68.20360186071876,0.16672261726737267,0.0,pass,,
aptos__9ee0f282dfbe9e5f,107.0592860194708,49.013124690574955,115.8180557634071,0.1662266914883877,0.0,pass,,
aptos__36b2b6bb74579f7d,80.57862304061535,43.75817398837292,274.9731402075657,0.21079773905949536,0.0,pass,,
aptos__f32f7135ed4b1396,85.68457213049714,41.916286311682924,89.23592358967517,0.16597491378521073,0.0,pass,,
aptos__fbc7cdd4824100a7,45.78831859541202,33.094337573804474,160.73106240877235,0.20758041778803024,0.0,pass,,
aptos__54946c4089ddaf27,90.13085322451413,53.33513295695373,45.381476867440554,0.2553408053366128,0.0,pass,,
aptos__c81268151ebf13c7,56.39728291829427,60.09513626723187,116.2921142578125,0.5249074300130209,0.0,pass,,
aptos__c017cea590a53220,75.90208510638298,46.75796630172882,174.8511181954504,0.2645531914893617,0.0,pass,,
aptos__842d170d38bd5f85,82.45715576015384,42.84379129018091,258.8069638752127,0.2097925528815337,0.0,pass,,
aptos__0052c7ae813e90a6,47.335183531113096,32.78551312424483,46.86210650507477,0.28546212411211774,0.0,pass,,
aptos__eed0d05561c9b604,43.02912341407151,47.662052338076606,393.0242855312059,0.5242534922465718,0.0,pass,,
aptos__581738914686b111,69.21594275811951,41.04715429187752,56.004835165283815,0.2544044757485978,0.0,pass,,
aptos__3cb524b929314043,76.8175832392346,36.34754134737124,61.88564540279002,0.16639454329050568,0.0,pass,,
aptos__b8e514de8ab3e66b,73.27996620243576,39.751887986259725,265.304839372945,0.2107248994813822,0.0,pass,,
aptos__4e470259930f40a6,82.63504821924498,37.98349198216964,70.53460887069974,0.16647846919156467,0.0,pass,,
aptos__7cc6d7019d550072,51.13005123536979,24.87510865107149,22.384124572240946,0.0969363082087217,0.00022757227790368004,pass,,
aptos__d3242a37c2b5cbbe,52.08348083496094,55.86427794028768,152.16754150390625,0.5246632893880209,0.0,pass,,
aptos__99aa3dbf3dff7c9a,83.19292290659052,44.124582944513065,302.1804585297325,0.21033156575957113,0.0,pass,,
