train_loss,train_accuracy,val_loss,val_accuracy,val_qwk,val_macro_f1
0.8673576716635678,0.6558628941441441,0.6191784835769718,0.7289888378200919,0.7483673638133068,0.6709669812603781
0.8485803289322166,0.660472972972973,0.6469928461786797,0.6652987524622456,0.7201045491949729,0.6348192869391753
0.8253111244590433,0.6599451013513513,0.640915511394909,0.7467170059093894,0.7457928992349807,0.6508810099386555
0.8096089363769368,0.6669481981981982,0.6339090163975426,0.7534471437951412,0.767966557623569,0.6764252654397527
0.7905477643818468,0.6721213400900901,0.6116165266331293,0.7419566644780039,0.7600534893315133,0.6729049800463114
0.7526064585927907,0.6825028153153153,0.620050421687857,0.724720945502298,0.7462354918939442,0.647005699590872
0.7599957123197414,0.6836641328828829,0.6182559432751711,0.7245567957977675,0.7398568636760237,0.6455437335213854
0.7506859097797591,0.6804617117117117,0.6414327424604174,0.7591923834537098,0.7560803147361715,0.6869582558241949
0.7478501376536515,0.6890836148648649,0.6546084370490993,0.7491792514773473,0.7632643499297261,0.6742467649460261
0.7491740831887131,0.6836641328828829,0.6333193292918365,0.7286605384110308,0.7543196197740452,0.6676749129662971
